"Label (Grouping)","Population 18 to 24 years","Less than high school graduate","High school graduate (includes equivalency)","Some college or associate's degree","Bachelor's degree or higher","Population 25 years and over","Less than 9th grade","9th to 12th grade, no diploma","High school graduate (includes equivalency)","Some college, no degree","Associate's degree","Bachelor's degree","Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","High school graduate or higher","Bachelor's degree or higher","Population 35 to 44 years","High school graduate or higher","Bachelor's degree or higher","Population 45 to 64 years","High school graduate or higher","Bachelor's degree or higher","Population 65 years and over","High school graduate or higher","Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)!!Graduate or professional degree","PERCENT IMPUTED","PERCENT IMPUTED!!Educational attainment"
"Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","488,349","19.9%","30.1%","43.9%","6.0%","3,161,521","6.2%","11.7%","31.3%","21.8%","7.1%","13.9%","8.0%","82.1%","21.9%","601,653","83.2%","24.8%","621,094","85.4%","23.1%","1,280,800","85.1%","22.6%","657,974","72.3%","16.7%","","30.0%","15.7%","11.7%","4.1%","","30,406","17,366","24,849","30,064","45,502","52,476","","5.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","243,772","24.5%","32.4%","38.2%","4.8%","1,496,299","6.7%","12.0%","32.2%","21.2%","5.9%","14.0%","7.9%","81.3%","22.0%","293,626","81.0%","21.6%","305,556","83.3%","20.3%","618,244","83.2%","23.0%","278,873","74.9%","22.1%","","25.4%","12.9%","7.7%","3.8%","","36,307","20,549","30,622","37,724","60,017","71,600","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","244,577","15.3%","27.9%","49.6%","7.2%","1,665,222","5.7%","11.4%","30.4%","22.4%","8.2%","13.8%","8.1%","82.9%","21.9%","308,027","85.3%","28.0%","315,538","87.5%","25.9%","662,556","86.8%","22.3%","379,101","70.4%","12.8%","","34.5%","18.3%","14.8%","4.3%","","24,736","13,299","19,165","24,624","36,873","48,801","","(X)"
"Alaska","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","75,023","18.8%","37.1%","40.7%","3.4%","450,577","2.8%","6.1%","25.3%","29.6%","8.2%","18.5%","9.4%","91.0%","27.9%","103,690","91.8%","24.5%","93,460","92.2%","30.7%","200,088","92.3%","29.4%","53,339","82.9%","24.4%","","17.7%","9.8%","6.7%","2.8%","","40,575","20,087","30,617","40,159","51,137","67,634","","3.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
