"Label (Grouping)","Population 18 to 24 years","Less than high school graduate","High school graduate (includes equivalency)","Some college or associate's degree","Bachelor's degree or higher","Population 25 years and over","Less than 9th grade","9th to 12th grade, no diploma","High school graduate (includes equivalency)","Some college, no degree","Associate's degree","Bachelor's degree","Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","High school graduate or higher","Bachelor's degree or higher","Population 35 to 44 years","High school graduate or higher","Bachelor's degree or higher","Population 45 to 64 years","High school graduate or higher","Bachelor's degree or higher","Population 65 years and over","High school graduate or higher","Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS)!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS)!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS)!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS)!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS)!!Graduate or professional degree","PERCENT IMPUTED","PERCENT IMPUTED!!Educational attainment"
"Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","485,274","17.7%","29.1%","46.3%","6.9%","3,193,078","5.6%","11.7%","30.9%","22.2%","7.4%","13.9%","8.4%","82.7%","22.3%","609,611","84.3%","24.8%","613,286","85.6%","24.7%","1,296,391","85.4%","22.5%","673,790","73.5%","17.3%","","29.3%","16.3%","11.9%","4.1%","","30,910","19,049","25,069","30,318","44,800","54,200","","5.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","244,731","21.0%","31.2%","42.2%","5.6%","1,508,892","6.2%","12.6%","31.1%","21.5%","6.3%","13.8%","8.4%","81.2%","22.2%","298,317","82.5%","21.2%","297,714","81.5%","21.8%","627,551","83.3%","22.4%","285,310","74.8%","23.3%","","24.5%","13.4%","8.5%","3.8%","","37,309","22,453","30,822","39,420","56,149","72,482","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","240,543","14.3%","27.0%","50.5%","8.2%","1,684,186","5.0%","10.9%","30.6%","22.8%","8.4%","14.0%","8.3%","84.1%","22.3%","311,294","86.0%","28.3%","315,572","89.5%","27.4%","668,840","87.4%","22.5%","388,480","72.5%","13.0%","","34.2%","18.9%","14.7%","4.4%","","24,846","13,623","19,331","23,947","36,522","48,770","","(X)"
"Alaska","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","77,633","18.5%","35.9%","40.2%","5.4%","456,862","3.1%","5.2%","28.1%","29.9%","7.4%","16.9%","9.5%","91.8%","26.4%","106,279","93.4%","24.0%","93,356","93.5%","30.5%","198,860","93.1%","26.0%","58,367","81.4%","25.2%","","17.8%","11.5%","6.4%","2.2%","","40,812","22,342","32,173","40,478","50,422","69,222","","3.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
