"Label (Grouping)","AGE BY EDUCATIONAL ATTAINMENT","Population 18 to 24 years","Population 18 to 24 years!!Less than high school graduate","Population 18 to 24 years!!High school graduate (includes equivalency)","Population 18 to 24 years!!Some college or associate's degree","Population 18 to 24 years!!Bachelor's degree or higher","Population 25 years and over","Population 25 years and over!!Less than 9th grade","Population 25 years and over!!9th to 12th grade, no diploma","Population 25 years and over!!High school graduate (includes equivalency)","Population 25 years and over!!Some college, no degree","Population 25 years and over!!Associate's degree","Population 25 years and over!!Bachelor's degree","Population 25 years and over!!Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","Population 25 to 34 years!!High school graduate or higher","Population 25 to 34 years!!Bachelor's degree or higher","Population 35 to 44 years","Population 35 to 44 years!!High school graduate or higher","Population 35 to 44 years!!Bachelor's degree or higher","Population 45 to 64 years","Population 45 to 64 years!!High school graduate or higher","Population 45 to 64 years!!Bachelor's degree or higher","Population 65 years and over","Population 65 years and over!!High school graduate or higher","Population 65 years and over!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!Bachelor's degree or higher","White alone, not Hispanic or Latino","White alone, not Hispanic or Latino!!High school graduate or higher","White alone, not Hispanic or Latino!!Bachelor's degree or higher","Black alone","Black alone!!High school graduate or higher","Black alone!!Bachelor's degree or higher","American Indian or Alaska Native alone","American Indian or Alaska Native alone!!High school graduate or higher","American Indian or Alaska Native alone!!Bachelor's degree or higher","Asian alone","Asian alone!!High school graduate or higher","Asian alone!!Bachelor's degree or higher","Native Hawaiian and Other Pacific Islander alone","Native Hawaiian and Other Pacific Islander alone!!High school graduate or higher","Native Hawaiian and Other Pacific Islander alone!!Bachelor's degree or higher","Some other race alone","Some other race alone!!High school graduate or higher","Some other race alone!!Bachelor's degree or higher","Two or more races","Two or more races!!High school graduate or higher","Two or more races!!Bachelor's degree or higher","Hispanic or Latino Origin","Hispanic or Latino Origin!!High school graduate or higher","Hispanic or Latino Origin!!Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Graduate or professional degree"
"Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","471,079","63,810","161,311","214,751","31,207","3,309,607","137,386","309,557","1,029,982","709,100","278,878","528,019","316,685","(X)","(X)","628,878","555,404","167,848","596,006","525,791","166,364","1,281,507","1,130,179","333,016","803,216","651,290","177,476","","2,342,850","2,065,729","667,005","2,283,461","2,024,688","653,852","833,006","692,547","140,364","18,800","14,647","2,751","43,607","37,934","20,772","N","N","N","32,645","18,505","3,160","37,570","32,322","10,333","95,591","61,641","16,521","","(X)","(X)","(X)","(X)","","35,578","21,601","29,440","32,057","49,520","57,213"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","13.5%","34.2%","45.6%","6.6%","(X)","4.2%","9.4%","31.1%","21.4%","8.4%","16.0%","9.6%","86.5%","25.5%","(X)","88.3%","26.7%","(X)","88.2%","27.9%","(X)","88.2%","26.0%","(X)","81.1%","22.1%","","(X)","88.2%","28.5%","(X)","88.7%","28.6%","(X)","83.1%","16.9%","(X)","77.9%","14.6%","(X)","87.0%","47.6%","(X)","N","N","(X)","56.7%","9.7%","(X)","86.0%","27.5%","(X)","64.5%","17.3%","","29.2%","15.8%","11.2%","4.4%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","234,658","37,085","90,367","95,174","12,032","1,565,244","71,748","155,237","509,811","327,801","111,785","242,582","146,280","(X)","(X)","309,577","268,368","74,578","291,614","250,334","68,726","615,206","535,384","148,722","348,847","284,173","96,836","","1,129,521","988,400","323,669","1,097,286","966,667","318,122","371,055","300,007","47,467","9,752","7,180","1,003","20,177","18,030","10,922","N","N","N","17,246","9,736","898","16,785","14,198","4,733","52,301","33,038","6,658","","(X)","(X)","(X)","(X)","","42,330","25,787","35,915","41,440","62,626","77,436"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","15.8%","38.5%","40.6%","5.1%","(X)","4.6%","9.9%","32.6%","20.9%","7.1%","15.5%","9.3%","85.5%","24.8%","(X)","86.7%","24.1%","(X)","85.8%","23.6%","(X)","87.0%","24.2%","(X)","81.5%","27.8%","","(X)","87.5%","28.7%","(X)","88.1%","29.0%","(X)","80.9%","12.8%","(X)","73.6%","10.3%","(X)","89.4%","54.1%","(X)","N","N","(X)","56.5%","5.2%","(X)","84.6%","28.2%","(X)","63.2%","12.7%","","24.0%","12.3%","8.1%","3.8%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","236,421","26,725","70,944","119,577","19,175","1,744,363","65,638","154,320","520,171","381,299","167,093","285,437","170,405","(X)","(X)","319,301","287,036","93,270","304,392","275,457","97,638","666,301","594,795","184,294","454,369","367,117","80,640","","1,213,329","1,077,329","343,336","1,186,175","1,058,021","335,730","461,951","392,540","92,897","9,048","7,467","1,748","23,430","19,904","9,850","N","N","N","15,399","8,769","2,262","20,785","18,124","5,600","43,290","28,603","9,863","","(X)","(X)","(X)","(X)","","29,400","15,778","21,671","26,824","39,320","51,494"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
