"Label (Grouping)","AGE BY EDUCATIONAL ATTAINMENT","Population 18 to 24 years","Population 18 to 24 years!!Less than high school graduate","Population 18 to 24 years!!High school graduate (includes equivalency)","Population 18 to 24 years!!Some college or associate's degree","Population 18 to 24 years!!Bachelor's degree or higher","Population 25 years and over","Population 25 years and over!!Less than 9th grade","Population 25 years and over!!9th to 12th grade, no diploma","Population 25 years and over!!High school graduate (includes equivalency)","Population 25 years and over!!Some college, no degree","Population 25 years and over!!Associate's degree","Population 25 years and over!!Bachelor's degree","Population 25 years and over!!Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","Population 25 to 34 years!!High school graduate or higher","Population 25 to 34 years!!Bachelor's degree or higher","Population 35 to 44 years","Population 35 to 44 years!!High school graduate or higher","Population 35 to 44 years!!Bachelor's degree or higher","Population 45 to 64 years","Population 45 to 64 years!!High school graduate or higher","Population 45 to 64 years!!Bachelor's degree or higher","Population 65 years and over","Population 65 years and over!!High school graduate or higher","Population 65 years and over!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!Bachelor's degree or higher","White alone, not Hispanic or Latino","White alone, not Hispanic or Latino!!High school graduate or higher","White alone, not Hispanic or Latino!!Bachelor's degree or higher","Black alone","Black alone!!High school graduate or higher","Black alone!!Bachelor's degree or higher","American Indian or Alaska Native alone","American Indian or Alaska Native alone!!High school graduate or higher","American Indian or Alaska Native alone!!Bachelor's degree or higher","Asian alone","Asian alone!!High school graduate or higher","Asian alone!!Bachelor's degree or higher","Native Hawaiian and Other Pacific Islander alone","Native Hawaiian and Other Pacific Islander alone!!High school graduate or higher","Native Hawaiian and Other Pacific Islander alone!!Bachelor's degree or higher","Some other race alone","Some other race alone!!High school graduate or higher","Some other race alone!!Bachelor's degree or higher","Two or more races","Two or more races!!High school graduate or higher","Two or more races!!Bachelor's degree or higher","Hispanic or Latino Origin","Hispanic or Latino Origin!!High school graduate or higher","Hispanic or Latino Origin!!Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Graduate or professional degree"
"Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","468,319","70,992","149,612","212,684","35,031","3,282,252","158,830","338,052","1,018,063","707,979","266,452","504,626","288,250","(X)","(X)","624,472","542,689","161,130","612,193","528,600","165,594","1,283,740","1,102,622","305,002","761,847","611,459","161,150","","2,342,482","2,027,741","624,622","2,279,702","1,989,189","615,164","816,758","665,958","133,199","13,968","11,058","2,679","40,066","34,451","20,490","2,449","1,220","319","27,494","12,509","2,237","39,035","32,433","9,330","96,774","55,544","12,459","","(X)","(X)","(X)","(X)","","32,468","20,732","27,223","30,878","46,740","56,164"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","15.2%","31.9%","45.4%","7.5%","(X)","4.8%","10.3%","31.0%","21.6%","8.1%","15.4%","8.8%","84.9%","24.2%","(X)","86.9%","25.8%","(X)","86.3%","27.0%","(X)","85.9%","23.8%","(X)","80.3%","21.2%","","(X)","86.6%","26.7%","(X)","87.3%","27.0%","(X)","81.5%","16.3%","(X)","79.2%","19.2%","(X)","86.0%","51.1%","(X)","49.8%","13.0%","(X)","45.5%","8.1%","(X)","83.1%","23.9%","(X)","57.4%","12.9%","","31.0%","16.6%","12.0%","4.4%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","235,692","40,806","83,861","97,919","13,106","1,551,470","85,356","167,474","504,353","325,301","102,785","237,072","129,129","(X)","(X)","304,812","258,066","67,938","297,114","247,769","69,045","620,239","523,287","142,350","329,305","269,518","86,868","","1,127,952","969,522","299,965","1,092,757","948,183","295,504","362,602","286,126","48,750","6,674","5,043","1,167","18,323","16,281","11,170","1,224","647","167","16,133","5,864","1,061","18,562","15,157","3,921","53,999","28,854","5,592","","(X)","(X)","(X)","(X)","","40,366","25,122","33,864","40,592","60,321","76,121"
"    Percent Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","17.3%","35.6%","41.5%","5.6%","(X)","5.5%","10.8%","32.5%","21.0%","6.6%","15.3%","8.3%","83.7%","23.6%","(X)","84.7%","22.3%","(X)","83.4%","23.2%","(X)","84.4%","23.0%","(X)","81.8%","26.4%","","(X)","86.0%","26.6%","(X)","86.8%","27.0%","(X)","78.9%","13.4%","(X)","75.6%","17.5%","(X)","88.9%","61.0%","(X)","52.9%","13.6%","(X)","36.3%","6.6%","(X)","81.7%","21.1%","(X)","53.4%","10.4%","","25.7%","13.7%","8.4%","3.9%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","232,627","30,186","65,751","114,765","21,925","1,730,782","73,474","170,578","513,710","382,678","163,667","267,554","159,121","(X)","(X)","319,660","284,623","93,192","315,079","280,831","96,549","663,501","579,335","162,652","432,542","341,941","74,282","","1,214,530","1,058,219","324,657","1,186,945","1,041,006","319,660","454,156","379,832","84,449","7,294","6,015","1,512","21,743","18,170","9,320","1,225","573","152","11,361","6,645","1,176","20,473","17,276","5,409","42,775","26,690","6,867","","(X)","(X)","(X)","(X)","","26,849","14,134","20,847","25,396","39,543","50,413"
"    Percent Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
