"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Male","SEX AND AGE!!Female","SEX AND AGE!!Under 5 years","SEX AND AGE!!5 to 9 years","SEX AND AGE!!10 to 14 years","SEX AND AGE!!15 to 19 years","SEX AND AGE!!20 to 24 years","SEX AND AGE!!25 to 34 years","SEX AND AGE!!35 to 44 years","SEX AND AGE!!45 to 54 years","SEX AND AGE!!55 to 59 years","SEX AND AGE!!60 to 64 years","SEX AND AGE!!65 to 74 years","SEX AND AGE!!75 to 84 years","SEX AND AGE!!85 years and over","SEX AND AGE!!Median age (years)","SEX AND AGE!!18 years and over","SEX AND AGE!!21 years and over","SEX AND AGE!!62 years and over","SEX AND AGE!!65 years and over","SEX AND AGE!!18 years and over","SEX AND AGE!!Male","SEX AND AGE!!Female","SEX AND AGE!!65 years and over","SEX AND AGE!!Male","SEX AND AGE!!Female","RACE","RACE!!Total population","RACE!!One race","RACE!!Two or more races","RACE!!One race","RACE!!One race!!White","RACE!!One race!!Black or African American","RACE!!One race!!American Indian and Alaska Native","RACE!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!One race!!Asian","RACE!!One race!!Asian!!Asian Indian","RACE!!One race!!Asian!!Chinese","RACE!!One race!!Asian!!Filipino","RACE!!One race!!Asian!!Japanese","RACE!!One race!!Asian!!Korean","RACE!!One race!!Asian!!Vietnamese","RACE!!One race!!Asian!!Other Asian","RACE!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!One race!!Some other race","RACE!!Two or more races","RACE!!Two or more races!!White and Black or African American","RACE!!Two or more races!!White and American Indian and Alaska Native","RACE!!Two or more races!!White and Asian","RACE!!Two or more races!!Black or African American and American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races","RACE!!Race alone or in combination with one or more other races!!Total population","RACE!!White","RACE!!Black or African American","RACE!!American Indian and Alaska Native","RACE!!Asian","RACE!!Native Hawaiian and Other Pacific Islander","RACE!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","HISPANIC OR LATINO AND RACE!!Total housing units"
"Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2011 Estimate","","4,802,740","48.4%","51.6%","6.2%","6.3%","6.8%","7.0%","7.2%","12.7%","12.8%","14.3%","6.5%","6.2%","7.9%","4.4%","1.7%","38.1","76.6%","72.2%","17.7%","14.0%","3,678,352","47.7%","52.3%","673,790","42.3%","57.7%","","4,802,740","98.7%","1.3%","98.7%","69.1%","26.7%","0.5%","0.2%","0.0%","0.0%","0.0%","1.1%","0.2%","0.2%","0.1%","0.0%","0.2%","0.2%","0.2%","0.0%","N","N","N","N","1.2%","1.3%","0.4%","0.5%","0.2%","0.1%","","4,802,740","70.2%","27.2%","1.1%","1.4%","0.1%","1.4%","","4,802,740","3.9%","2.6%","0.3%","0.1%","0.9%","96.1%","66.7%","26.5%","0.5%","1.1%","0.0%","0.1%","1.2%","0.1%","1.1%","2,182,199"
"    2010 Estimate","","4,785,298","48.5%","51.5%","6.4%","6.5%","6.7%","7.3%","7.1%","12.6%","13.0%","14.4%","6.5%","5.8%","7.7%","4.4%","1.6%","37.8","76.3%","71.6%","17.1%","13.7%","3,649,870","47.7%","52.3%","657,974","42.4%","57.6%","","4,785,298","98.6%","1.4%","98.6%","69.5%","26.4%","0.6%","N","N","N","N","1.1%","0.3%","0.2%","0.1%","0.0%","0.1%","0.2%","0.1%","0.0%","N","N","N","N","1.1%","1.4%","0.4%","0.5%","0.2%","0.1%","","4,785,298","70.7%","27.0%","1.2%","1.4%","0.1%","1.2%","","4,785,298","3.8%","2.7%","0.3%","0.0%","0.8%","96.2%","67.0%","26.3%","0.5%","1.1%","0.0%","0.0%","1.3%","0.0%","1.2%","2,174,428"
"    2011 - 2010 Statistical Significance","","c","","","*","","","*","","","*","","","*","*","","","*","*","*","*","*","*","","","*","","","","c","","","","*","*","","","","","","","","","","*","","","","*","","","","","","","","","","","","c","*","*","","","","","","c","","","","","","","*","*","","","*","","","*","","*"
"    2009 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2011 - 2009 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2008 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2011 - 2008 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2007 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2011 - 2007 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Alaska","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2011 Estimate","","722,718","51.6%","48.4%","7.5%","7.0%","7.3%","6.9%","8.1%","14.7%","12.9%","14.9%","7.3%","5.3%","5.2%","2.2%","0.7%","33.9","74.0%","69.6%","11.1%","8.1%","534,495","51.9%","48.1%","58,367","48.7%","51.3%","","722,718","91.7%","8.3%","91.7%","66.8%","3.2%","14.2%","0.1%","0.0%","0.0%","0.0%","5.3%","0.1%","0.3%","2.5%","0.3%","0.8%","0.2%","1.1%","1.1%","0.1%","0.1%","0.8%","0.1%","1.2%","8.3%","0.8%","4.4%","1.1%","0.5%","","722,718","73.8%","5.0%","19.7%","6.9%","1.6%","1.7%","","722,718","5.8%","3.1%","0.8%","0.2%","1.7%","94.2%","63.6%","3.0%","13.8%","5.3%","1.0%","0.1%","7.4%","0.0%","7.4%","311,182"
"    2010 Estimate","","713,985","52.2%","47.8%","7.5%","7.0%","7.3%","7.2%","7.8%","14.5%","13.1%","15.7%","7.1%","5.2%","4.8%","2.1%","0.6%","33.8","73.6%","69.2%","10.6%","7.5%","525,600","52.2%","47.8%","53,339","47.9%","52.1%","","713,985","93.0%","7.0%","93.0%","67.4%","3.5%","14.6%","0.1%","0.0%","0.1%","0.1%","5.5%","0.1%","0.3%","2.8%","0.3%","0.6%","0.0%","1.4%","1.1%","0.2%","0.0%","0.7%","0.2%","0.9%","7.0%","0.5%","3.7%","0.9%","0.2%","","713,985","73.8%","4.6%","19.3%","7.0%","1.7%","1.3%","","713,985","5.7%","3.8%","0.7%","0.1%","1.1%","94.3%","64.0%","3.2%","14.2%","5.3%","1.0%","0.1%","6.5%","0.1%","6.4%","307,065"
"    2011 - 2010 Statistical Significance","","c","*","*","","","","","","","","*","","","*","","","","*","","*","*","*","*","*","*","","","","c","*","*","*","*","","","","","","","","","","","","","*","","","","","","","","*","","","","*","","c","","","","","","","","c","","*","","","*","","*","","","","","","*","","*","*"
"    2009 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
