"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Total population!!Sex ratio (males per 100 females)","SEX AND AGE!!Total population!!Under 5 years","SEX AND AGE!!Total population!!5 to 9 years","SEX AND AGE!!Total population!!10 to 14 years","SEX AND AGE!!Total population!!15 to 19 years","SEX AND AGE!!Total population!!20 to 24 years","SEX AND AGE!!Total population!!25 to 34 years","SEX AND AGE!!Total population!!35 to 44 years","SEX AND AGE!!Total population!!45 to 54 years","SEX AND AGE!!Total population!!55 to 59 years","SEX AND AGE!!Total population!!60 to 64 years","SEX AND AGE!!Total population!!65 to 74 years","SEX AND AGE!!Total population!!75 to 84 years","SEX AND AGE!!Total population!!85 years and over","SEX AND AGE!!Total population!!Median age (years)","SEX AND AGE!!Total population!!Under 18 years","SEX AND AGE!!Total population!!16 years and over","SEX AND AGE!!Total population!!18 years and over","SEX AND AGE!!Total population!!21 years and over","SEX AND AGE!!Total population!!62 years and over","SEX AND AGE!!Total population!!65 years and over","SEX AND AGE!!Total population!!18 years and over","SEX AND AGE!!Total population!!18 years and over!!Male","SEX AND AGE!!Total population!!18 years and over!!Female","SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females)","SEX AND AGE!!Total population!!65 years and over","SEX AND AGE!!Total population!!65 years and over!!Male","SEX AND AGE!!Total population!!65 years and over!!Female","SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females)","RACE","RACE!!Total population","RACE!!Total population!!One race","RACE!!Total population!!Two or more races","RACE!!Total population!!One race","RACE!!Total population!!One race!!White","RACE!!Total population!!One race!!Black or African American","RACE!!Total population!!One race!!American Indian and Alaska Native","RACE!!Total population!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!Total population!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!Total population!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!Total population!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!Total population!!One race!!Asian","RACE!!Total population!!One race!!Asian!!Asian Indian","RACE!!Total population!!One race!!Asian!!Chinese","RACE!!Total population!!One race!!Asian!!Filipino","RACE!!Total population!!One race!!Asian!!Japanese","RACE!!Total population!!One race!!Asian!!Korean","RACE!!Total population!!One race!!Asian!!Vietnamese","RACE!!Total population!!One race!!Asian!!Other Asian","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!Total population!!One race!!Some other race","RACE!!Total population!!Two or more races","RACE!!Total population!!Two or more races!!White and Black or African American","RACE!!Total population!!Two or more races!!White and American Indian and Alaska Native","RACE!!Total population!!Two or more races!!White and Asian","RACE!!Total population!!Two or more races!!Black or African American and American Indian and Alaska Native","Race alone or in combination with one or more other races","Race alone or in combination with one or more other races!!Total population","Race alone or in combination with one or more other races!!Total population!!White","Race alone or in combination with one or more other races!!Total population!!Black or African American","Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native","Race alone or in combination with one or more other races!!Total population!!Asian","Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander","Race alone or in combination with one or more other races!!Total population!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","Total housing units","CITIZEN, VOTING AGE POPULATION","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female"
"Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","4,887,871","2,369,271","2,518,600","94.1","288,589","290,369","321,430","332,209","317,810","635,976","593,480","626,173","332,700","319,472","493,396","251,025","85,242","39.3","1,089,105","3,930,579","3,798,766","3,585,498","1,011,288","829,663","3,798,766","1,805,236","1,993,530","90.6","829,663","360,970","468,693","77.0","","4,887,871","4,786,860","101,011","4,786,860","3,306,838","1,307,040","22,063","N","N","N","N","65,095","14,401","9,858","5,941","2,921","10,238","10,185","11,551","1,797","716","352","0","729","84,027","101,011","28,890","30,509","16,279","6,544","","4,887,871","3,394,273","1,349,621","62,780","89,230","5,925","93,147","","4,887,871","211,485","127,838","26,822","4,943","51,882","4,676,386","3,192,169","1,298,603","20,450","64,942","1,797","6,970","91,455","3,111","88,344","2,274,711","","3,712,212","1,763,395","1,948,817"
"    Percent","","4,887,871","48.5%","51.5%","(X)","5.9%","5.9%","6.6%","6.8%","6.5%","13.0%","12.1%","12.8%","6.8%","6.5%","10.1%","5.1%","1.7%","(X)","22.3%","80.4%","77.7%","73.4%","20.7%","17.0%","3,798,766","47.5%","52.5%","(X)","829,663","43.5%","56.5%","(X)","","4,887,871","97.9%","2.1%","97.9%","67.7%","26.7%","0.5%","N","N","N","N","1.3%","0.3%","0.2%","0.1%","0.1%","0.2%","0.2%","0.2%","0.0%","0.0%","0.0%","0.0%","0.0%","1.7%","2.1%","0.6%","0.6%","0.3%","0.1%","","4,887,871","69.4%","27.6%","1.3%","1.8%","0.1%","1.9%","","4,887,871","4.3%","2.6%","0.5%","0.1%","1.1%","95.7%","65.3%","26.6%","0.4%","1.3%","0.0%","0.1%","1.9%","0.1%","1.8%","(X)","","3,712,212","47.5%","52.5%"
"Alaska","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","737,438","382,952","354,486","108.0","52,173","52,544","49,747","48,514","49,107","117,688","97,020","89,333","47,300","46,012","59,630","21,000","7,370","34.9","183,460","572,880","553,978","524,838","113,725","88,000","553,978","289,766","264,212","109.7","88,000","44,317","43,683","101.5","","737,438","675,242","62,196","675,242","474,555","25,197","111,371","752","962","38","797","46,381","1,376","2,988","28,497","749","3,484","810","8,477","7,958","383","1,163","4,639","1,773","9,780","62,196","5,434","29,350","8,997","2,161","","737,438","529,846","36,659","149,430","63,855","14,092","13,875","","737,438","53,069","28,656","8,156","1,870","14,387","684,369","443,304","24,011","107,887","45,513","7,877","895","54,882","863","54,019","318,352","","532,244","279,792","252,452"
"    Percent","","737,438","51.9%","48.1%","(X)","7.1%","7.1%","6.7%","6.6%","6.7%","16.0%","13.2%","12.1%","6.4%","6.2%","8.1%","2.8%","1.0%","(X)","24.9%","77.7%","75.1%","71.2%","15.4%","11.9%","553,978","52.3%","47.7%","(X)","88,000","50.4%","49.6%","(X)","","737,438","91.6%","8.4%","91.6%","64.4%","3.4%","15.1%","0.1%","0.1%","0.0%","0.1%","6.3%","0.2%","0.4%","3.9%","0.1%","0.5%","0.1%","1.1%","1.1%","0.1%","0.2%","0.6%","0.2%","1.3%","8.4%","0.7%","4.0%","1.2%","0.3%","","737,438","71.8%","5.0%","20.3%","8.7%","1.9%","1.9%","","737,438","7.2%","3.9%","1.1%","0.3%","2.0%","92.8%","60.1%","3.3%","14.6%","6.2%","1.1%","0.1%","7.4%","0.1%","7.3%","(X)","","532,244","52.6%","47.4%"
"Arizona","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","7,171,646","3,565,129","3,606,517","98.9","434,032","441,613","488,738","477,306","489,653","979,328","882,618","852,462","430,467","436,326","727,956","398,408","132,739","38.0","1,641,999","5,714,007","5,529,647","5,230,420","1,515,235","1,259,103","5,529,647","2,726,338","2,803,309","97.3","1,259,103","579,400","679,703","85.2","","7,171,646","6,884,666","286,980","6,884,666","5,590,505","336,340","330,599","3,945","263","151,713","1,533","237,873","58,926","46,853","44,169","11,983","15,633","27,751","32,558","15,661","4,780","3,085","1,951","5,845","373,688","286,980","65,348","66,395","61,566","8,350","","7,171,646","5,838,911","432,062","424,955","322,251","32,684","429,942","","7,171,646","2,266,342","1,978,995","62,519","17,385","207,443","4,905,304","3,894,250","310,388","277,800","232,105","14,177","9,960","166,624","4,760","161,864","3,035,902","","5,035,771","2,478,560","2,557,211"
"    Percent","","7,171,646","49.7%","50.3%","(X)","6.1%","6.2%","6.8%","6.7%","6.8%","13.7%","12.3%","11.9%","6.0%","6.1%","10.2%","5.6%","1.9%","(X)","22.9%","79.7%","77.1%","72.9%","21.1%","17.6%","5,529,647","49.3%","50.7%","(X)","1,259,103","46.0%","54.0%","(X)","","7,171,646","96.0%","4.0%","96.0%","78.0%","4.7%","4.6%","0.1%","0.0%","2.1%","0.0%","3.3%","0.8%","0.7%","0.6%","0.2%","0.2%","0.4%","0.5%","0.2%","0.1%","0.0%","0.0%","0.1%","5.2%","4.0%","0.9%","0.9%","0.9%","0.1%","","7,171,646","81.4%","6.0%","5.9%","4.5%","0.5%","6.0%","","7,171,646","31.6%","27.6%","0.9%","0.2%","2.9%","68.4%","54.3%","4.3%","3.9%","3.2%","0.2%","0.1%","2.3%","0.1%","2.3%","(X)","","5,035,771","49.2%","50.8%"
"Arkansas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
