"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Male","SEX AND AGE!!Female","SEX AND AGE!!Under 5 years","SEX AND AGE!!5 to 9 years","SEX AND AGE!!10 to 14 years","SEX AND AGE!!15 to 19 years","SEX AND AGE!!20 to 24 years","SEX AND AGE!!25 to 34 years","SEX AND AGE!!35 to 44 years","SEX AND AGE!!45 to 54 years","SEX AND AGE!!55 to 59 years","SEX AND AGE!!60 to 64 years","SEX AND AGE!!65 to 74 years","SEX AND AGE!!75 to 84 years","SEX AND AGE!!85 years and over","SEX AND AGE!!Median age (years)","SEX AND AGE!!18 years and over","SEX AND AGE!!21 years and over","SEX AND AGE!!62 years and over","SEX AND AGE!!65 years and over","SEX AND AGE!!18 years and over","SEX AND AGE!!Male","SEX AND AGE!!Female","SEX AND AGE!!65 years and over","SEX AND AGE!!Male","SEX AND AGE!!Female","RACE","RACE!!Total population","RACE!!One race","RACE!!Two or more races","RACE!!One race","RACE!!One race!!White","RACE!!One race!!Black or African American","RACE!!One race!!American Indian and Alaska Native","RACE!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!One race!!Asian","RACE!!One race!!Asian!!Asian Indian","RACE!!One race!!Asian!!Chinese","RACE!!One race!!Asian!!Filipino","RACE!!One race!!Asian!!Japanese","RACE!!One race!!Asian!!Korean","RACE!!One race!!Asian!!Vietnamese","RACE!!One race!!Asian!!Other Asian","RACE!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!One race!!Some other race","RACE!!Two or more races","RACE!!Two or more races!!White and Black or African American","RACE!!Two or more races!!White and American Indian and Alaska Native","RACE!!Two or more races!!White and Asian","RACE!!Two or more races!!Black or African American and American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races","RACE!!Race alone or in combination with one or more other races!!Total population","RACE!!White","RACE!!Black or African American","RACE!!American Indian and Alaska Native","RACE!!Asian","RACE!!Native Hawaiian and Other Pacific Islander","RACE!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","HISPANIC OR LATINO AND RACE!!Total housing units"
"Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","4,785,298","2,322,243","2,463,055","308,069","309,658","318,460","348,077","339,513","601,653","621,094","689,027","313,316","278,457","369,627","212,903","75,444","37.8","3,649,870","3,427,325","816,795","657,974","3,649,870","1,740,071","1,909,799","657,974","278,873","379,101","","4,785,298","4,720,112","65,186","4,720,112","3,324,276","1,262,980","27,768","N","N","N","N","52,789","12,240","9,812","4,934","2,137","7,009","9,591","7,066","606","N","N","N","N","51,693","65,186","20,366","22,449","9,299","3,304","","4,785,298","3,382,838","1,290,667","56,024","64,811","2,500","56,447","","4,785,298","182,795","127,157","13,655","2,200","39,783","4,602,503","3,206,485","1,256,566","24,291","52,313","553","2,095","60,200","1,050","59,150","2,174,428"
"    Percent","","4,785,298","48.5%","51.5%","6.4%","6.5%","6.7%","7.3%","7.1%","12.6%","13.0%","14.4%","6.5%","5.8%","7.7%","4.4%","1.6%","(X)","76.3%","71.6%","17.1%","13.7%","3,649,870","47.7%","52.3%","657,974","42.4%","57.6%","","4,785,298","98.6%","1.4%","98.6%","69.5%","26.4%","0.6%","N","N","N","N","1.1%","0.3%","0.2%","0.1%","0.0%","0.1%","0.2%","0.1%","0.0%","N","N","N","N","1.1%","1.4%","0.4%","0.5%","0.2%","0.1%","","4,785,298","70.7%","27.0%","1.2%","1.4%","0.1%","1.2%","","4,785,298","3.8%","2.7%","0.3%","0.0%","0.8%","96.2%","67.0%","26.3%","0.5%","1.1%","0.0%","0.0%","1.3%","0.0%","1.2%","(X)"
"Alaska","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","713,985","372,436","341,549","53,582","49,870","52,372","51,610","55,974","103,690","93,460","112,229","50,489","37,370","34,197","15,070","4,072","33.8","525,600","494,009","75,476","53,339","525,600","274,121","251,479","53,339","25,530","27,809","","713,985","663,948","50,037","663,948","481,446","24,711","104,539","764","132","934","673","39,118","674","2,255","19,800","2,481","3,935","262","9,711","7,638","1,170","347","4,859","1,262","6,496","50,037","3,770","26,761","6,780","1,633","","713,985","526,642","33,121","137,943","50,131","12,315","9,173","","713,985","40,705","26,838","5,286","538","8,043","673,280","457,264","22,712","101,346","37,754","7,102","1,019","46,083","408","45,675","307,065"
"    Percent","","713,985","52.2%","47.8%","7.5%","7.0%","7.3%","7.2%","7.8%","14.5%","13.1%","15.7%","7.1%","5.2%","4.8%","2.1%","0.6%","(X)","73.6%","69.2%","10.6%","7.5%","525,600","52.2%","47.8%","53,339","47.9%","52.1%","","713,985","93.0%","7.0%","93.0%","67.4%","3.5%","14.6%","0.1%","0.0%","0.1%","0.1%","5.5%","0.1%","0.3%","2.8%","0.3%","0.6%","0.0%","1.4%","1.1%","0.2%","0.0%","0.7%","0.2%","0.9%","7.0%","0.5%","3.7%","0.9%","0.2%","","713,985","73.8%","4.6%","19.3%","7.0%","1.7%","1.3%","","713,985","5.7%","3.8%","0.7%","0.1%","1.1%","94.3%","64.0%","3.2%","14.2%","5.3%","1.0%","0.1%","6.5%","0.1%","6.4%","(X)"
"Arizona","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","6,413,737","3,190,700","3,223,037","455,776","448,623","457,339","460,186","445,055","859,440","823,770","843,493","377,151","356,109","501,788","280,081","104,926","35.9","4,781,326","4,500,486","1,091,705","886,795","4,781,326","2,353,852","2,427,474","886,795","403,984","482,811","","6,413,737","6,244,180","169,557","6,244,180","5,095,378","264,009","285,768","4,953","481","141,834","1,382","174,039","29,882","42,110","32,393","8,998","16,685","23,028","20,943","12,180","3,199","1,228","3,761","3,992","412,806","169,557","33,438","34,941","37,496","3,575","","6,413,737","5,242,273","312,920","333,890","227,244","23,994","454,796","","6,413,737","1,908,914","1,725,249","34,808","12,331","136,526","4,504,823","3,703,810","248,863","260,558","170,843","11,818","6,202","102,729","3,341","99,388","2,846,738"
"    Percent","","6,413,737","49.7%","50.3%","7.1%","7.0%","7.1%","7.2%","6.9%","13.4%","12.8%","13.2%","5.9%","5.6%","7.8%","4.4%","1.6%","(X)","74.5%","70.2%","17.0%","13.8%","4,781,326","49.2%","50.8%","886,795","45.6%","54.4%","","6,413,737","97.4%","2.6%","97.4%","79.4%","4.1%","4.5%","0.1%","0.0%","2.2%","0.0%","2.7%","0.5%","0.7%","0.5%","0.1%","0.3%","0.4%","0.3%","0.2%","0.0%","0.0%","0.1%","0.1%","6.4%","2.6%","0.5%","0.5%","0.6%","0.1%","","6,413,737","81.7%","4.9%","5.2%","3.5%","0.4%","7.1%","","6,413,737","29.8%","26.9%","0.5%","0.2%","2.1%","70.2%","57.7%","3.9%","4.1%","2.7%","0.2%","0.1%","1.6%","0.1%","1.5%","(X)"
"Arkansas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
